x,T
0.001,4426.554
0.002,4783.177
0.002,5136.584
0.004,5412.508
0.006,5685.709
0.007,5940.982
0.009,6168.119
0.011,6393.018
0.014,6603.067
0.018,6830.379
0.022,7071.373
0.025,7282.606
0.03,7489.465
0.035,7703.451
0.04,7901.924
0.046,8102.382
0.051,8305.713
0.058,8509.7
0.064,8721.324
0.072,8931.905
0.079,9147.907
0.087,9353.566
0.095,9545.875
0.104,9748.02
0.113,9947.532
0.122,10128.428
0.131,10293.246
0.14,10446.217
0.15,10586.495
0.159,10714.079
0.168,10834.048
0.177,10941.323
0.187,11040.982
0.196,11136.41
0.205,11222.53
0.214,11303.573
0.224,11380.385
0.233,11454.658
0.242,11525.546
0.251,11590.51
0.261,11654.629
0.27,11718.747
0.279,11778.634
0.288,11837.675
0.298,11894.178
0.307,11951.526
0.316,12009.721
0.325,12066.224
0.335,12122.726
0.344,12178.382
0.353,12237.423
0.362,12293.08
0.372,12355.505
0.381,12413.7
0.39,12471.049
0.399,12525.013
0.409,12575.592
0.418,12624.478
0.427,12669.98
0.436,12713.789
0.446,12757.598
0.455,12800.561
0.464,12846.063
0.473,12888.18
0.482,12931.989
0.492,12967.336
0.501,13002.683
0.51,13044.8
0.519,13079.301
0.529,13118.033
0.538,13155.918
0.547,13191.265
0.556,13227.459
0.566,13260.267
0.575,13291.383
0.584,13323.345
0.593,13354.461
0.603,13387.27
0.612,13415.847
0.621,13447.809
0.63,13478.079
0.64,13503.272
0.649,13531.849
0.658,13557.888
0.667,13581.388
0.677,13607.427
0.686,13631.773
0.695,13660.35
0.704,13683.004
0.714,13704.812
0.723,13731.697
0.732,13758.582
0.741,13780.389
0.751,13800.505
0.76,13822.312
0.769,13844.966
0.778,13866.774
0.788,13879.273
0.797,13879.079
0.806,13878.885
0.815,13878.691
0.825,13869.189
0.834,13835.146
0.843,13800.258
0.852,13722.212
0.861,13571.392
0.87,13364.551
0.877,13185.926
0.882,12969.061
0.886,12740.655
0.889,12525.885
0.892,12300.872
0.893,12053.948
0.894,11805.93
0.895,11562.344
0.896,11281.302
0.896,11021.195
0.896,10816.411
0.896,10611.627
0.896,10406.843
0.897,9813.889
0.897,10116.401
0.897,9272.435
0.898,9506.69
0.898,8456.385
0.899,8183.325
0.899,7697.736
0.899,7915.856
0.9,7133.012
0.9,7405.275
0.903,6918.846
0.913,6764.215
0.922,6676.861
0.931,6619.125
0.94,6575.774
0.95,6537.5
0.959,6500.919
0.968,6499.065
0.977,6392.78
0.987,6290.476
0.993,6146.992
1,5811.189
