x,T
0,1168.95
0.001,2181.798
0.003,2811.129
0.005,3156.178
0.005,3519.968
0.007,3791.432
0.009,4135.489
0.01,4401.056
0.012,4631.403
0.014,4908.793
0.018,5240.634
0.021,5489.905
0.025,5715.562
0.028,5935.625
0.032,6156.145
0.037,6367.94
0.041,6577.524
0.047,6770.171
0.052,6977.278
0.057,7185.271
0.064,7415.612
0.071,7649.438
0.078,7865.836
0.085,8096.114
0.099,8439.954
0.107,8641.148
0.116,8840.331
0.125,9013.329
0.135,9179.276
0.144,9319.835
0.153,9446.291
0.162,9553.003
0.172,9664.509
0.181,9755.706
0.19,9832.518
0.199,9912.432
0.209,9987.833
0.218,10038.13
0.227,10099.146
0.236,10146.058
0.246,10201.996
0.255,10235.369
0.264,10282.845
0.273,10316.499
0.282,10345.923
0.292,10379.013
0.301,10418.309
0.31,10419.808
0.319,10452.334
0.329,10473.578
0.338,10492.847
0.347,10513.808
0.356,10519.538
0.366,10523.575
0.375,10523.601
0.387,10523.343
0.4,10523.085
0.412,10522.827
0.429,10543.448
0.447,10543.071
0.467,10518.057
0.477,10520.402
0.486,10513.438
0.495,10490.396
0.504,10469.893
0.514,10451.083
0.523,10416.758
0.532,10412.615
0.541,10378.855
0.551,10347.069
0.56,10307.949
0.569,10283.779
0.578,10237.043
0.588,10198.488
0.597,10149.777
0.606,10101.349
0.615,10043.613
0.625,9982.492
0.634,9914.318
0.643,9843.607
0.652,9753.996
0.661,9656.487
0.671,9555.594
0.68,9432.981
0.689,9290.905
0.698,9139.239
0.707,8937.598
0.716,8742.378
0.723,8530.325
0.726,8361.646
0.73,8161.668
0.732,7961.864
0.735,7753.925
0.738,7500.995
0.74,7257.382
0.741,6999.516
0.742,6787.257
0.743,6487.812
0.744,6171.005
0.746,5872.623
0.748,5158.18
0.748,5437.427
0.748,4360.749
0.748,4850.986
0.749,4601.984
0.75,4143.51
0.754,3928.133
0.761,3735.779
0.77,3542.854
0.779,3404.163
0.788,3297.91
0.798,3223.813
0.807,3161.564
0.816,3113.7
0.825,3074.862
0.835,3059.436
0.844,3026.24
0.853,3005.737
0.862,2985.234
0.872,2956.269
0.881,2952.69
0.89,2964.343
0.899,2947.225
0.909,2924.183
0.918,2910.45
0.927,2895.024
0.936,2870.29
0.946,2854.864
0.955,2843.669
0.964,2806.242
0.973,2768.815
0.983,2715.591
0.991,2618.247
0.995,2517.582
0.999,2370.649
