x,T
0.009,3.221
0.01,3.318
0.01,3.418
0.011,3.524
0.011,3.153
0.011,3.091
0.012,3.634
0.013,3.029
0.014,3.779
0.015,2.977
0.016,3.976
0.018,2.926
0.019,4.152
0.02,2.915
0.022,4.287
0.026,4.416
0.026,2.894
0.03,4.545
0.031,2.894
0.033,4.674
0.037,4.81
0.037,2.894
0.038,4.894
0.04,4.987
0.041,5.07
0.042,2.894
0.043,5.152
0.046,5.239
0.048,2.894
0.05,5.363
0.053,2.895
0.054,5.503
0.058,5.627
0.059,2.895
0.062,5.753
0.064,2.895
0.068,5.905
0.069,2.895
0.073,6.029
0.073,2.868
0.078,6.134
0.083,6.21
0.09,6.343
0.09,2.918
0.096,6.43
0.096,2.901
0.101,6.512
0.101,2.896
0.107,6.587
0.107,2.896
0.112,6.654
0.112,2.896
0.117,6.73
0.117,2.896
0.123,6.766
0.123,2.896
0.128,6.823
0.128,2.903
0.134,2.921
0.134,6.864
0.139,2.941
0.144,6.906
0.145,2.96
0.149,6.942
0.15,2.983
0.155,6.967
0.156,3.007
0.16,6.987
0.161,3.035
0.166,7.004
0.166,3.062
0.171,7.022
0.172,3.094
0.176,7.037
0.177,3.126
0.182,7.047
0.183,3.16
0.187,7.063
0.188,3.195
0.193,7.072
0.194,3.233
0.198,7.088
0.199,3.27
0.204,7.094
0.204,3.307
0.209,7.108
0.21,3.346
0.214,7.11
0.215,3.384
0.22,7.119
0.221,3.423
0.225,7.13
0.226,3.457
0.231,7.132
0.232,3.494
0.236,7.132
0.237,3.526
0.242,7.135
0.243,3.558
0.247,7.143
0.248,3.59
0.253,7.143
0.253,3.624
0.258,7.143
0.259,3.659
0.263,7.143
0.264,3.691
0.269,7.143
0.27,3.723
0.274,7.143
0.275,3.755
0.28,7.143
0.281,3.793
0.285,7.143
0.286,3.827
0.291,7.143
0.292,3.862
0.296,7.144
0.297,3.899
0.301,7.14
0.302,3.937
0.307,7.133
0.308,3.978
0.312,7.133
0.313,4.017
0.318,7.13
0.319,4.059
0.323,7.116
0.324,4.102
0.329,7.112
0.33,4.152
0.334,7.104
0.335,4.187
0.34,7.091
0.34,4.257
0.345,7.083
0.346,4.281
0.35,7.07
0.351,4.351
0.356,7.054
0.356,4.395
0.361,7.04
0.363,4.475
0.367,7.021
0.369,4.534
0.372,7
0.373,4.592
0.378,6.972
0.38,4.688
0.383,6.943
0.386,4.756
0.388,6.904
0.391,4.832
0.394,6.864
0.397,4.917
0.399,6.812
0.402,5.013
0.405,6.749
0.408,5.125
0.41,6.66
0.413,5.236
0.415,6.533
0.416,5.391
0.418,6.399
0.419,5.56
0.421,6.247
0.421,5.74
0.421,6.108
0.421,5.902
0.421,6.005
