0.008, 2.237
0.001, 1.992
0.014, 2.496
0.019, 2.744
0.025, 2.987
0.032, 3.251
0.037, 3.448
0.043, 3.689
0.052, 3.962
0.059, 4.246
0.066, 4.426
0.072, 4.618
0.082, 4.875
0.094, 5.240
0.104, 5.473
0.113, 5.684
0.129, 6.014
0.140, 6.255
0.150, 6.432
0.160, 6.601
0.174, 6.823
0.188, 7.018
0.198, 7.157
0.214, 7.335
0.224, 7.414
0.234, 7.494
0.244, 7.570
0.254, 7.608
0.264, 7.691
0.283, 7.825
0.293, 7.869
0.303, 7.909
0.313, 7.946
0.323, 7.977
0.333, 8.006
0.343, 8.038
0.356, 8.077
0.374, 8.138
0.388, 8.174
0.397, 8.195
0.407, 8.225
0.417, 8.252
0.427, 8.278
0.437, 8.303
0.447, 8.331
0.457, 8.355
0.467, 8.380
0.476, 8.405
0.486, 8.427
0.496, 8.453
0.506, 8.477
0.516, 8.499
0.526, 8.517
0.536, 8.535
0.546, 8.555
0.555, 8.573
0.565, 8.594
0.575, 8.608
0.585, 8.619
0.595, 8.638
0.605, 8.648
0.615, 8.658
0.625, 8.674
0.634, 8.679
0.644, 8.679
0.654, 8.678
0.664, 8.678
0.674, 8.658
0.684, 8.646
0.694, 8.622
0.704, 8.586
0.713, 8.539
0.723, 8.471
0.733, 8.367
0.742, 8.208
0.746, 7.983
0.744, 7.618
0.740, 7.393
0.734, 7.173
0.728, 6.967
0.721, 6.764
0.714, 6.552
0.708, 6.351
0.700, 6.120
0.694, 5.882
0.688, 5.644
0.685, 5.380
0.685, 4.962
0.696, 4.750
0.705, 4.603
0.715, 4.490
0.725, 4.394
0.735, 4.306
0.745, 4.223
0.755, 4.142
0.765, 4.055
0.775, 3.959
0.784, 3.840
0.795, 3.693
0.805, 3.511
0.814, 3.326
0.823, 3.163
0.832, 2.980
0.851, 2.695
0.861, 2.563
0.871, 2.436
0.880, 2.319
0.890, 2.203
0.896, 2.149
0.904, 2.063
0.912, 1.961
0.919, 1.879
0.924, 1.815
0.934, 1.704
0.944, 1.595
0.954, 1.485
0.963, 1.379
0.973, 1.269
0.983, 1.146
1.000, 0.921
